id,prompt,duration
30,"A cinematic 35mm film-style extreme close-up of a gray-haired man in his 60s, deeply engrossed in thought about the history of the universe as he sits at a Parisian café. His weathered face, adorned with a full beard, conveys a professorial air. His eyes are fixed on people walking off-screen, lost in contemplation. He is dressed in a woolen suit coat and a button-down shirt, wearing a brown beret and glasses. The background showcases the bustling Parisian streets and cityscape, with golden light illuminating the scene. The depth of field creates a sense of depth, and the lighting is cinematic, highlighting his subtle, closed-mouth smile as if he has just discovered the answer to life's mysteries. A medium shot with a slight overhead angle.",720
31,"A beautifully animated silhouette scene depicts a lone wolf standing on a rocky hilltop, howling at the full moon, its expression filled with loneliness and longing. As the wolf's howl echoes across the night, it suddenly notices a distant silhouette of another wolf, signaling the beginning of its journey to rejoin its pack. The background is a detailed, moonlit landscape with rolling hills, dense forests, and a clear, starry sky. The animation has a smooth, fluid motion, capturing the natural movements of the wolves. The camera starts with a close-up of the lone wolf, then gradually pans out to show the entire scene, creating a sense of connection and movement.",720
32,"A surreal and dreamlike scene in the style of a cyberpunk film, depicting New York City submerged underwater, resembling the mythical city of Atlantis. Fish, whales, sea turtles, and sharks swim through the bustling streets, which now resemble underwater landscapes. The buildings are partially submerged, their facades covered in algae and marine growth. The water is murky and filled with sunlight filtering through from above, casting colorful hues. Pedestrians, now merfolk, move gracefully through the water, interacting with the aquatic creatures. The camera angle is from a low, sweeping shot, capturing the vast expanse of this submerged metropolis.",240
33,"A winter scene in a snowy forest, where a litter of playful golden retriever puppies emerge from the snow. Their heads pop out, their fluffy fur glistening in the sunlight, and they wag their tails joyfully. They are covered in snow, with some paw prints leading away into the deep snow. One puppy is burying its nose in the snow, while another chases a small ball that has rolled nearby. The background shows dense evergreen trees and a gentle slope leading up to a clearing. The air is crisp and cold, with tiny snowflakes falling gently. A close-up shot from a slightly elevated angle, capturing the lively and energetic moment.",720
34,"A cinematic film shot in 35mm capturing a dynamic step-printing scene of a person running. The runner is a young man with short, tousled brown hair and determined eyes, sprinting down a city street lined with tall buildings and neon signs. His arms are pumped vigorously, and he looks focused and energetic. The background features blurred motion with the cityscape gradually fading into a soft, sepia tone. The camera follows him closely, capturing his every stride and movement. The scene has a nostalgic and vintage film texture, enhancing the dramatic intensity of the run. A close-up shot from a slightly behind-the-subject angle.",720
35,"A nature-inspired illustration in a soft watercolor style depicting five playful gray wolf pups frolicking and chasing each other along a remote gravel road. The pups run and leap, their tails wagging joyfully as they chase and nip at one another. They are covered in a fine layer of dirt and grass, adding to their lively energy. The background is filled with tall grass swaying gently in the breeze, with a few wildflowers scattered about. The sun casts warm, golden light over the scene, creating a serene and natural atmosphere. A dynamic close-up from a low angle, capturing the wolves' playful antics.",240
36,"A dynamic and explosive basketball moment captured in a high-energy action style, showcasing a basketball flying through the hoop with a burst of fireworks exploding behind it. The basketball is vividly depicted, with realistic textures and reflections. The hoop is made of shiny black metal, and the net is taut and stretched. Behind the hoop, a spectacular explosion of fireworks fills the sky, creating a dazzling display of colors and sparks. The camera angle is from the side, capturing the intense moment with a sense of movement and excitement. The background features blurred spectators and a sports arena with standing figures, adding to the lively atmosphere. A medium shot with a slight upward angle.",720
37,"A realistic archaeological excavation scene in a vast desert, where archeologists meticulously uncover a generic plastic chair buried under layers of sand. They carefully brush away the dust, their focused expressions conveying the importance of their discovery. The chair, though simple, appears slightly worn and faded. The background showcases the harsh, barren landscape of the desert, with dunes stretching into the distance. The sun is setting, casting long shadows and adding a sense of timelessness to the scene. A close-up shot from a slightly lower angle, emphasizing the detailed work of the archeologists and the weathered chair.",240
38,"A cinematic photograph in the style of a warm family moment, capturing a grandmother with neatly combed grey hair standing behind a colorful birthday cake adorned with numerous pink frosting candles and sprinkles. She leans forward with a gentle puff, extinguishing the flickering candles with a joyful expression, her eyes sparkling with happiness. The grandmother wears a light blue blouse adorned with delicate floral patterns, and the scene is filled with several happy friends and family members gathered at the wooden dining room table, their faces illuminated by soft, warm lighting. The background is slightly out of focus, emphasizing the intimate and celebratory atmosphere. A 3/4 view shot, highlighting the grandmother's warm and loving demeanor, with a beautiful blend of natural light and color tones.",240
39,"A vibrant and lively scene in Burano, Italy, captured in a direct camera angle. The colorful buildings with their distinctive pastel hues dominate the background, creating a picturesque Venetian atmosphere. On the ground floor, a cute Dalmatian peers out through a window, its curious gaze catching the attention of passersby. Pedestrians and cyclists move gracefully along the canal streets in front of the buildings, adding to the bustling yet charming ambiance. The photo has a warm, nostalgic feel, with the Dalmatian standing out against the vivid backdrop. A medium shot capturing the street life and the building details.",240
40,"A scenic photograph capturing the moment a steam train departs from the Glenfinnan Viaduct, a historic railway bridge in Scotland. The train moves gracefully over the arch-covered viaduct, its smoke billowing into the air. The landscape is lush with greenery, and towering rocky mountains frame the scene, creating a picturesque backdrop. The sky is a clear, bright blue with the sun shining down, casting a warm glow on the train and the surrounding scenery. The viaduct itself is a striking feature, with intricate ironwork and a verdant setting. The photo has a classic, nostalgic feel, emphasizing the natural beauty and historical charm of the location. A wide-angle shot from a slightly elevated angle, capturing both the train and the expansive landscape.",720
41,"A charming 3D digital render art style image showcasing an adorable and happy otter confidently standing on a surfboard, wearing a bright yellow lifejacket. The otter is depicted with a joyful expression, its fur soft and detailed, and it appears to glide gracefully through turquoise tropical waters. The background features lush tropical islands with vibrant green foliage and palm trees, creating a serene and picturesque setting. The water is crystal clear, with gentle waves and sunlight filtering through, adding a sense of tranquility and vibrancy to the scene. A medium shot capturing the otter mid-glide, with a slight tilt to the camera angle emphasizing its playful and adventurous spirit.",1440
42,"A close-up shot in the style of a nature documentary, featuring a chameleon with its body contorted in an intriguing pose, showcasing its striking color-changing capabilities. The chameleon's skin shifts between vibrant shades of green, blue, and yellow, with intricate patterns and textures. Its large, round eyes focus intently on the viewer, and its long, sticky tongue is partially extended, ready to catch prey. The background is blurred, emphasizing the chameleon's vivid colors and detailed patterns, with hints of a lush, tropical forest environment. The photo has a crisp, high-resolution quality, highlighting the reptile's natural movements and vibrant hues. A close-up shot from a slightly elevated angle.",1440
43,"A vibrant and lively vlog-style photo of a corgi in tropical Maui, showcasing the dog energetically filming itself on a sandy beach. The corgi stands on the shore, one paw slightly lifted, with a joyful and curious expression. It wears a colorful collar and a small backpack camera slung over its neck. The background features a lush, palm-fringed beach with clear turquoise waters and a bright blue sky. The photo has a warm, natural lighting effect, capturing the corgi from a slightly elevated angle, emphasizing its playful and adventurous spirit.",240
44,"A cinematic and grainy photograph captures a white and orange tabby cat joyfully darting through a dense garden, as if chasing something. The cat’s eyes are wide and filled with happiness as it jogs forward, scanning the branches, flowers, and leaves. The narrow path winds between the lush greenery, and the scene is captured from a ground-level angle, providing a low and intimate perspective. The image has warm tones and a subtle grainy texture, with scattered daylight filtering through the leaves and plants above, creating a warm contrast that highlights the cat’s orange fur. The shot is clear and sharp, with a shallow depth of field that focuses solely on the cat’s movements and expressions.",240
45,"An aerial view of Santorini during the blue hour, capturing the stunning architecture of white Cycladic buildings with blue domes against the twilight sky. The caldera views are breathtaking, with the volcanic cliffs and sea below creating a dramatic contrast. The lighting casts a soft, warm glow, enhancing the serene atmosphere. The image has a dreamy, almost ethereal quality, emphasizing the beauty of the setting. A bird's-eye view with a wide-angle lens, focusing on the intricate details of the buildings and the vast expanse of the caldera.",1440
46,"A tilt-shift photograph of a bustling construction site, capturing the essence of a busy work environment. Workers in hard hats and safety gear are scattered throughout the scene, operating various pieces of heavy machinery and equipment. The site is filled with cranes, bulldozers, and excavators, each piece of machinery adding to the dynamic atmosphere. The background features partially constructed buildings and scaffolding, creating a sense of progress and ongoing development. The overall texture of the photo gives it a miniature-like quality, emphasizing the scale and activity of the site. A medium shot with a slightly downward angle, highlighting the intricate details and movements of the workers and machines.",240
47,"A dramatic, epic fantasy-style illustration depicting a towering, giant cloud shaped like a man, with thunderous lightning bolts emanating from his outstretched arms and striking the ground below. The cloud-man has a fierce, determined expression, with stormy gray clouds cascading down his form, giving him a menacing presence. His eyes glow with an intense, electric blue light, and his arms are spread wide, ready to unleash more bolts. The background shows a dark, stormy sky with heavy rain and distant lightning, creating a foreboding atmosphere. The scene is rendered in a dynamic, high-detailed style with a mix of realistic and fantastical elements. A high-angle shot capturing the full figure of the cloud-man in action.",1440
48,"A vibrant and dynamic illustration in the style of a futuristic sci-fi comic, depicting two playful dogs, a Samoyed and a Golden Retriever, running through a neon-lit city at night. The dogs' fur gleams under the vibrant glow of the city's neon lights, casting colorful reflections. They move energetically, tails wagging, with the Samoyed having a fluffy white coat and the Golden Retriever sporting a golden one. The cityscape is filled with towering skyscrapers adorned with flickering neon signs, creating a mesmerizing visual spectacle. The background features blurred outlines of the city's architecture, with hints of glowing streets and distant buildings. The camera angle captures a medium shot of the dogs from a slightly elevated perspective, emphasizing their joyful movements.",240
49,"A dynamic scene captured in the style of a vibrant food photography, showcasing a chef skillfully chopping onions in a bustling kitchen. The chef, a middle-aged man with a weathered face and determined expression, skillfully slices the onions with quick, practiced movements. He wears a white apron tied neatly around his waist and a chef's hat perched atop his head. The background is a well-equipped kitchen, with stainless steel appliances and countertops cluttered with various cooking tools and ingredients. Steam rises from a pot on the stove, and sunlight filters through the window, casting a warm glow. A medium shot with the chef at the center, capturing the intensity of his work.",720
50,"A detailed digital painting style illustration of a small man with a cheerful expression, holding several colorful building blocks, visiting an art gallery. He has round glasses and a warm smile, with his hands gently holding the blocks. The gallery features various paintings on the walls, with a mix of modern abstract and classic artworks. The floor is covered in polished wooden tiles, and there are comfortable chairs and tables nearby. The man is standing near a large painting of a serene landscape, with his gaze focused on it. The background has a soft, warm lighting, highlighting the textures of the artwork and the man's clothes. A medium shot from a slightly lower angle, capturing both the man and the gallery scene.",720
51,"A vibrant and dynamic illustration in a cartoon style depicting a white cat sitting comfortably behind the wheel of a toy car, driving through a bustling downtown street. The cat has large, round eyes and a mischievous grin, with fur that appears soft and fluffy. Tall skyscrapers and a mix of people walking briskly fill the background, adding to the lively urban setting. The car's tires spin as it moves, and the wind flows through the cat's ears. The illustration has a bright color palette and a smooth, cartoony texture. The camera angle is slightly elevated, capturing both the cat and the vibrant street scene below.",240
52,"A macro shot of a volcanic eruption in a coffee cup, capturing the dramatic moment in vivid detail. The coffee cup is filled with rich, dark brown liquid, and the surface is suddenly disrupted by a burst of foam and steam, mimicking the intense heat and pressure of a real volcanic eruption. The foam rises and spreads across the surface, creating a chaotic yet mesmerizing pattern. The cup itself is made of ceramic, with intricate patterns etched into the sides, adding texture and depth to the scene. The background is a blurred gradient of warm browns and grays, enhancing the focus on the erupting foam. The lighting is dramatic, casting shadows and highlighting the dynamic movement of the foam. A close-up shot from a low angle, emphasizing the explosive nature of the eruption.",1440
53,"A highly detailed close-up shot in HD, focusing on dew droplets glistening on the delicate petals of a blue rose. The petals are soft and velvety, with intricate patterns and subtle color gradients. Each dew drop sparkles like tiny diamonds, catching the light and creating a mesmerizing effect. The background is blurred, emphasizing the dew and petals, with a soft focus on the edges. The photo has a clear, crisp texture, highlighting the beauty and fragility of nature.",720
54,"A Chinese boy wearing glasses sits in a fast food restaurant, enjoying a delicious cheeseburger with his eyes closed. His hair is neatly combed, and he has a slightly dreamy expression. He holds the cheeseburger with both hands, taking a big bite. The background shows other diners and a colorful menu board with various fast food items. The lighting is warm and inviting, creating a cozy atmosphere. A close-up shot from a slightly lower angle, capturing the boy's joyful moment.",720
55,"A tropical island beach scene in a vibrant and lively illustration style, featuring a corgi wearing stylish sunglasses walking along the sandy shore. The corgi has a playful expression, its fur glistening in the bright sunlight. It strides confidently, its tail wagging as it explores the soft sand. The background showcases a clear turquoise sea with palm trees swaying gently in the breeze. A few seagulls fly overhead, adding to the serene yet lively atmosphere. The corgi’s sunglasses add a touch of whimsy and fun to the scene. A medium shot with the corgi at the center, captured from a slightly elevated angle.",1440
56,"A traditional Chinese dining scene in a dimly lit restaurant, capturing a middle-aged Chinese man sitting at a small round table. He is attentively eating noodles with chopsticks, his face reflecting contentment and focus. His attire is casual yet neat, with a light blue shirt and black pants. The background features blurred details of other diners and tables, hinting at a bustling yet cozy atmosphere. The lighting casts soft shadows, enhancing the warm and inviting ambiance. A close-up shot from a slightly overhead angle, emphasizing the man's engaged expression and the textures of the food.",720
57,"A romantic scene in a nighttime cityscape where a man and a woman walk hand in hand under a starry sky, their faces illuminated by the soft glow of streetlights. They are dressed in casual yet elegant attire, the man in a dark blue suit and the woman in a light green dress. A wooden bucket is placed on the ground nearby, adding a touch of rustic charm. The couple’s expressions are filled with happiness and affection, as they gaze into each other’s eyes. The background features tall buildings with windows lit up, creating a warm and cozy atmosphere. The stars above twinkle brightly, enhancing the serene and intimate mood. The scene is captured in a medium shot with a slightly upward angle, capturing both the couple and the surrounding environment.",1440
58,"A close-up shot of a steaming cappuccino in a ceramic cup, with a rich brown foam on top and a slight milk swirl pattern. The cup has a simple yet elegant design, with a white handle and a light brown body. The background is a cozy café with warm lighting, wooden tables, and a few patrons chatting in the corner. The cappuccino is freshly made, with a hint of steam rising from the surface, capturing the essence of a perfect morning beverage.",1440
59,"A vibrant tropical fish swimming gracefully among colorful coral reefs in a clear, turquoise ocean. The fish has bright blue and yellow scales with a small, distinctive orange spot on its side, its fins moving fluidly. The coral reefs are alive with a variety of marine life, including small schools of colorful fish and sea turtles gliding by. The water is crystal clear, allowing for a view of the sandy ocean floor below. The reef itself is adorned with a mix of hard and soft corals in shades of red, orange, and green. The photo captures the fish from a slightly elevated angle, emphasizing its lively movements and the vivid colors of its surroundings. A close-up shot with dynamic movement.",240
